Link+AF8-ID,Time,Moving+AF8-Average+AF8-throughput,Instantaneous+AF8-throughput,Time+AF8-average+AF8-throughput
1,170999.4352,0.00767254,0.02624,0.006926126
1,170999.8288,0.015345045,0.05248,0.006926126
1,171000.5472,0.02301747,0.07872,0.006926126
1,171000.9408,0.03068989,0.10496,0.006926126
1,171001.6592,0.038362201,0.1312,0.006926126
1,171002.0528,0.046034535,0.15744,0.006926126
1,171002.7712,0.053706732,0.18368,0.006926126
1,171003.1648,0.061378981,0.20992,0.006926126
1,171003.8832,0.069051064,0.23616,0.006926126
1,171004.2768,0.076723227,0.2624,0.006926126
1,171004.9952,0.084395195,0.28864,0.006926126
1,171005.3888,0.092067274,0.31488,0.006926126
1,171006.1072,0.099739128,0.34112,0.006926126
1,171006.5008,0.107411121,0.36736,0.006926126
1,171007.2192,0.115082861,0.3936,0.006926126
1,171007.6128,0.122754769,0.41984,0.006926126
1,171008.3312,0.130426394,0.44608,0.006926126
1,171008.7248,0.138098217,0.47232,0.006926126
1,221008.7248,0.138098217,0,0.006926126
1,2951999.512,0.138098217,0,0.006926126
1,3001999.512,0.008389075,0.03136,0.006926126
1,3001999.669,0.008911393,0.06272,0.006926126
1,3051999.669,0.008911393,0,0.006926126
1,7032999.512,0.008911393,0,0.006926126
1,7082999.512,0.003998306,0.03136,0.006926126
1,7082999.669,0.004219681,0.06272,0.006926126
1,7083000.65,0.004441056,0.09408,0.006926126
1,7083000.806,0.004662431,0.12544,0.006926126
1,7133000.806,0.004662431,0,0.006926126
1,7991999.512,0.004662431,0,0.006926126
1,8041999.512,0.004301418,0.03136,0.006926126
1,8041999.669,0.004496394,0.06272,0.006926126
1,8091999.669,0.004496394,0,0.006926126
1,8951999.512,0.004496394,0,0.006926126
1,9001999.512,0.004191069,0.03136,0.006926126
1,9001999.669,0.004365252,0.06272,0.006926126
1,9051999.669,0.004365252,0,0.006926126
1,10031999.51,0.004365252,0,0.006926126
1,10081999.51,0.004053164,0.03136,0.006926126
1,10081999.67,0.004208689,0.06272,0.006926126
1,10131999.67,0.004208689,0,0.006926126
1,10151999.51,0.004208689,0,0.006926126
1,10201999.51,0.00431288,0.03136,0.006926126
1,10201999.67,0.004466575,0.06272,0.006926126
1,10251999.67,0.004466575,0,0.006926126
1,13031999.51,0.004466575,0,0.006926126
1,13081999.51,0.003603119,0.03136,0.006926126
1,13081999.67,0.003722978,0.06272,0.006926126
1,13131999.67,0.003722978,0,0.006926126
1,13991999.51,0.003722978,0,0.006926126
1,14041999.51,0.003580117,0.03136,0.006926126
1,14041999.67,0.003691782,0.06272,0.006926126
1,14091999.67,0.003691782,0,0.006926126
1,14951999.51,0.003691782,0,0.006926126
1,15001999.51,0.003560059,0.03136,0.006926126
1,15001999.67,0.003664578,0.06272,0.006926126
1,15051999.67,0.003664578,0,0.006926126
1,16031999.51,0.003664578,0,0.006926126
1,16081999.51,0.003515981,0.03136,0.006926126
1,16081999.67,0.003613481,0.06272,0.006926126
1,16131999.67,0.003613481,0,0.006926126
1,16151999.51,0.003613481,0,0.006926126
1,16201999.51,0.003683496,0.03136,0.006926126
1,16201999.67,0.003780274,0.06272,0.006926126
1,16251999.67,0.003780274,0,0.006926126
1,16991999.51,0.003780274,0,0.006926126
1,17041999.51,0.003685952,0.03136,0.006926126
1,17041999.67,0.00377796,0.06272,0.006926126
1,17091999.67,0.00377796,0,0.006926126
1,17952999.51,0.00377796,0,0.006926126
1,18002999.51,0.00366339,0.03136,0.006926126
1,18002999.67,0.003750486,0.06272,0.006926126
1,18003000.65,0.003837582,0.09408,0.006926126
1,18003000.81,0.003924679,0.12544,0.006926126
1,18053000.81,0.003924679,0,0.006926126
1,20951999.51,0.003924679,0,0.006926126
1,21001999.51,0.003438911,0.03136,0.006926126
1,21001999.67,0.00351357,0.06272,0.006926126
1,21051999.67,0.00351357,0,0.006926126
1,22031999.51,0.00351357,0,0.006926126
1,22081999.51,0.003412734,0.03136,0.006926126
1,22081999.67,0.003483742,0.06272,0.006926126
1,22131999.67,0.003483742,0,0.006926126
1,22992999.51,0.003483742,0,0.006926126
1,23042999.51,0.003406501,0.03136,0.006926126
1,23042999.67,0.003474548,0.06272,0.006926126
1,23043000.65,0.003542594,0.09408,0.006926126
1,23043000.81,0.003610641,0.12544,0.006926126
1,23093000.81,0.003610641,0,0.006926126
1,25991999.51,0.003610641,0,0.006926126
1,26041999.51,0.00325505,0.03136,0.006926126
1,26041999.67,0.00331526,0.06272,0.006926126
1,26091999.67,0.00331526,0,0.006926126
1,28991999.51,0.00331526,0,0.006926126
1,29041999.51,0.003026789,0.03136,0.006926126
1,29041999.67,0.00308078,0.06272,0.006926126
1,29042999.51,0.003134662,0.09408,0.006926126
1,29042999.67,0.003188651,0.12544,0.006926126
1,29092999.67,0.003188651,0,0.006926126
1,29111999.51,0.003188651,0,0.006926126
1,29161999.51,0.003229408,0.03136,0.006926126
1,29161999.67,0.003283177,0.06272,0.006926126
1,29211999.67,0.003283177,0,0.006926126
1,31991999.51,0.003283177,0,0.006926126
1,32041999.51,0.003037014,0.03136,0.006926126
1,32041999.67,0.00308595,0.06272,0.006926126
1,32091999.67,0.00308595,0,0.006926126
1,32111999.51,0.00308595,0,0.006926126
1,32161999.51,0.003123189,0.03136,0.006926126
1,32161999.67,0.003171942,0.06272,0.006926126
1,32211999.67,0.003171942,0,0.006926126
1,32952999.51,0.003171942,0,0.006926126
1,33002999.51,0.003138624,0.03136,0.006926126
1,33002999.67,0.003186135,0.06272,0.006926126
1,33003000.65,0.003233645,0.09408,0.006926126
1,33003000.81,0.003281156,0.12544,0.006926126
1,33003001.79,0.003328667,0.1568,0.006926126
1,33003001.94,0.003376178,0.18816,0.006926126
1,33053001.94,0.003376178,0,0.006926126
1,33071999.51,0.003376178,0,0.006926126
1,33121999.51,0.003411388,0.03136,0.006926126
1,33121999.67,0.003458728,0.06272,0.006926126
1,33171999.67,0.003458728,0,0.006926126
1,34031999.51,0.003458728,0,0.006926126
1,34081999.51,0.003407312,0.03136,0.006926126
1,34081999.67,0.003453319,0.06272,0.006926126
1,34082999.51,0.003499223,0.09408,0.006926126
1,34082999.67,0.003545228,0.12544,0.006926126
1,34132999.67,0.003545228,0,0.006926126
1,34991999.51,0.003545228,0,0.006926126
1,35041999.51,0.003492951,0.03136,0.006926126
1,35041999.67,0.003537698,0.06272,0.006926126
1,35091999.67,0.003537698,0,0.006926126
1,38951999.51,0.003537698,0,0.006926126
1,39001999.51,0.003218707,0.03136,0.006926126
1,39001999.67,0.00325891,0.06272,0.006926126
1,39051999.67,0.00325891,0,0.006926126
1,40991999.51,0.00325891,0,0.006926126
1,41041999.51,0.00313513,0.03136,0.006926126
